,day,y
1034,1034,3
1035,1035,8
1036,1036,8
1037,1037,8
1038,1038,10
1039,1039,10
1040,1040,6
1041,1041,6
1042,1042,8
1043,1043,8
1044,1044,8
1045,1045,8
1046,1046,8
1047,1047,8
1048,1048,8
1049,1049,8
1050,1050,3
1051,1051,2
1052,1052,3
1053,1053,3
1054,1054,3
1055,1055,1
1056,1056,1
1057,1057,1
1058,1058,1
1059,1059,1
1060,1060,1
1061,1061,1
1062,1062,2
1063,1063,1
1064,1064,1
1065,1065,2
1066,1066,2
1067,1067,2
1068,1068,10
1069,1069,10
1070,1070,2
1071,1071,10
1072,1072,4
1073,1073,2
1074,1074,2
1075,1075,2
1076,1076,4
1077,1077,1
1078,1078,1
1079,1079,1
1080,1080,1
1081,1081,1
1082,1082,1
1083,1083,1
1084,1084,10
1085,1085,5
1086,1086,5
1087,1087,5
1088,1088,5
1089,1089,5
1090,1090,5
1091,1091,1
1092,1092,1
1093,1093,1
1094,1094,1
1095,1095,1
1096,1096,1
1097,1097,1
1098,1098,1
1099,1099,1
1100,1100,1
1101,1101,5
1102,1102,5
1103,1103,5
1104,1104,5
1105,1105,0
1106,1106,0
1107,1107,2
1108,1108,2
1109,1109,2
1110,1110,2
1111,1111,2
1112,1112,2
1113,1113,2
1114,1114,2
1115,1115,10
1116,1116,10
1117,1117,10
1118,1118,10
1119,1119,10
1120,1120,10
1121,1121,10
1122,1122,10
1123,1123,10
1124,1124,10
1125,1125,10
1126,1126,10
1127,1127,10
1128,1128,10
1129,1129,7
1130,1130,7
1131,1131,10
1132,1132,7
1133,1133,4
1134,1134,4
1135,1135,4
1136,1136,1
1137,1137,8
1138,1138,4
1139,1139,10
1140,1140,10
1141,1141,1
1142,1142,1
1143,1143,1
1144,1144,1
1145,1145,1
1146,1146,1
1147,1147,1
1148,1148,1
1149,1149,1
1150,1150,9
1151,1151,9
1152,1152,9
1153,1153,5
1154,1154,0
1155,1155,5
1156,1156,9
1157,1157,9
1158,1158,9
1159,1159,9
1160,1160,5
1161,1161,5
1162,1162,5
1163,1163,0
1164,1164,0
1165,1165,6
1166,1166,6
1167,1167,2
1168,1168,2
1169,1169,2
1170,1170,2
1171,1171,2
1172,1172,2
1173,1173,2
1174,1174,2
1175,1175,2
1176,1176,2
1177,1177,2
1178,1178,6
1179,1179,6
1180,1180,6
1181,1181,2
1182,1182,2
1183,1183,2
1184,1184,2
1185,1185,2
1186,1186,2
1187,1187,2
1188,1188,9
1189,1189,2
1190,1190,8
1191,1191,8
1192,1192,8
1193,1193,8
1194,1194,8
1195,1195,7
1196,1196,7
1197,1197,7
1198,1198,3
1199,1199,3
1200,1200,3
1201,1201,3
1202,1202,3
1203,1203,3
1204,1204,0
1205,1205,3
1206,1206,0
1207,1207,0
1208,1208,5
1209,1209,0
1210,1210,0
1211,1211,0
1212,1212,10
1213,1213,10
1214,1214,10
1215,1215,10
1216,1216,2
1217,1217,2
1218,1218,2
1219,1219,9
1220,1220,9
1221,1221,9
1222,1222,9
1223,1223,9
1224,1224,9
1225,1225,9
1226,1226,9
1227,1227,9
1228,1228,9
1229,1229,6
1230,1230,1
1231,1231,1
1232,1232,3
1233,1233,3
1234,1234,3
1235,1235,1
1236,1236,3
1237,1237,1
1238,1238,1
1239,1239,1
1240,1240,3
1241,1241,1
1242,1242,1
1243,1243,1
1244,1244,1
1245,1245,2
1246,1246,10
1247,1247,10
