,day,y
607,607,Information Technology
608,608,Consumer Discretionary
609,609,Consumer Discretionary
610,610,Consumer Discretionary
611,611,Real Estate
612,612,Real Estate
613,613,Consumer Discretionary
614,614,Consumer Discretionary
615,615,Consumer Discretionary
616,616,Real Estate
617,617,Telecommunications Services
618,618,Telecommunications Services
619,619,Telecommunications Services
620,620,Telecommunications Services
621,621,Materials
622,622,Telecommunications Services
623,623,Telecommunications Services
624,624,Telecommunications Services
625,625,Telecommunications Services
626,626,Telecommunications Services
627,627,Telecommunications Services
628,628,Utilities
629,629,Telecommunications Services
630,630,Telecommunications Services
631,631,Telecommunications Services
632,632,Telecommunications Services
633,633,Telecommunications Services
634,634,Telecommunications Services
635,635,Telecommunications Services
636,636,Telecommunications Services
637,637,Telecommunications Services
638,638,Telecommunications Services
639,639,Telecommunications Services
640,640,Telecommunications Services
641,641,Consumer Discretionary
642,642,Consumer Discretionary
643,643,Telecommunications Services
644,644,Telecommunications Services
645,645,Telecommunications Services
646,646,Telecommunications Services
647,647,Consumer Discretionary
648,648,Consumer Discretionary
649,649,Real Estate
650,650,Real Estate
651,651,Real Estate
652,652,Real Estate
653,653,Real Estate
654,654,Real Estate
655,655,Utilities
656,656,Utilities
657,657,Utilities
658,658,Utilities
659,659,Utilities
660,660,Telecommunications Services
661,661,Energy
662,662,Energy
663,663,Energy
664,664,Energy
665,665,Materials
666,666,Consumer Discretionary
667,667,Energy
668,668,Energy
669,669,Energy
670,670,Real Estate
671,671,Real Estate
672,672,Real Estate
673,673,Real Estate
674,674,Real Estate
675,675,Telecommunications Services
676,676,Real Estate
677,677,Health Care
678,678,Health Care
679,679,Health Care
680,680,Health Care
681,681,Health Care
682,682,Health Care
683,683,Health Care
684,684,Health Care
685,685,Health Care
686,686,Energy
687,687,Health Care
688,688,Telecommunications Services
689,689,Telecommunications Services
690,690,Telecommunications Services
691,691,Telecommunications Services
692,692,Telecommunications Services
693,693,Telecommunications Services
694,694,Telecommunications Services
695,695,Real Estate
696,696,Materials
697,697,Materials
698,698,Materials
699,699,Real Estate
700,700,Real Estate
701,701,Telecommunications Services
702,702,Telecommunications Services
703,703,Telecommunications Services
704,704,Telecommunications Services
705,705,Telecommunications Services
706,706,Telecommunications Services
707,707,Telecommunications Services
708,708,Telecommunications Services
709,709,Consumer Staples
710,710,Consumer Staples
711,711,Consumer Staples
712,712,Real Estate
713,713,Utilities
714,714,Health Care
715,715,Real Estate
716,716,Health Care
717,717,Real Estate
718,718,Real Estate
719,719,Health Care
720,720,Real Estate
721,721,Telecommunications Services
722,722,Telecommunications Services
723,723,Telecommunications Services
724,724,Telecommunications Services
725,725,Telecommunications Services
726,726,Telecommunications Services
727,727,Telecommunications Services
728,728,Telecommunications Services
729,729,Utilities
730,730,Utilities
731,731,Utilities
732,732,Utilities
733,733,Utilities
734,734,Utilities
735,735,Telecommunications Services
736,736,Telecommunications Services
737,737,Telecommunications Services
738,738,Telecommunications Services
739,739,Telecommunications Services
740,740,Telecommunications Services
741,741,Telecommunications Services
742,742,Telecommunications Services
743,743,Telecommunications Services
744,744,Telecommunications Services
745,745,Telecommunications Services
746,746,Telecommunications Services
747,747,Utilities
748,748,Materials
749,749,Utilities
750,750,Telecommunications Services
751,751,Telecommunications Services
752,752,Materials
753,753,Industrials
754,754,Consumer Discretionary
755,755,Consumer Discretionary
756,756,Consumer Discretionary
757,757,Consumer Discretionary
758,758,Consumer Discretionary
759,759,Consumer Discretionary
760,760,Consumer Discretionary
761,761,Consumer Discretionary
762,762,Telecommunications Services
763,763,Telecommunications Services
764,764,Telecommunications Services
765,765,Telecommunications Services
766,766,Materials
767,767,Materials
768,768,Materials
769,769,Energy
770,770,Energy
771,771,Energy
772,772,Energy
773,773,Materials
774,774,Real Estate
775,775,Real Estate
776,776,Industrials
777,777,Industrials
778,778,Industrials
779,779,Real Estate
780,780,Real Estate
781,781,Telecommunications Services
782,782,Telecommunications Services
783,783,Health Care
784,784,Health Care
785,785,Health Care
786,786,Health Care
787,787,Health Care
788,788,Health Care
789,789,Health Care
790,790,Energy
791,791,Health Care
792,792,Health Care
793,793,Energy
794,794,Energy
795,795,Energy
796,796,Energy
797,797,Energy
798,798,Financials
799,799,Financials
800,800,Financials
801,801,Energy
802,802,Energy
803,803,Energy
804,804,Energy
805,805,Energy
806,806,Real Estate
807,807,Real Estate
808,808,Real Estate
809,809,Real Estate
810,810,Real Estate
811,811,Real Estate
812,812,Real Estate
813,813,Real Estate
814,814,Real Estate
815,815,Materials
816,816,Materials
817,817,Materials
818,818,Health Care
819,819,Materials
820,820,Information Technology
821,821,Information Technology
822,822,Health Care
823,823,Health Care
824,824,Information Technology
825,825,Health Care
826,826,Health Care
827,827,Health Care
828,828,Health Care
829,829,Health Care
830,830,Energy
831,831,Utilities
832,832,Utilities
833,833,Utilities
834,834,Utilities
835,835,Telecommunications Services
836,836,Telecommunications Services
837,837,Telecommunications Services
838,838,Telecommunications Services
839,839,Telecommunications Services
840,840,Telecommunications Services
841,841,Telecommunications Services
842,842,Telecommunications Services
843,843,Telecommunications Services
844,844,Real Estate
845,845,Real Estate
846,846,Real Estate
847,847,Real Estate
848,848,Real Estate
849,849,Real Estate
850,850,Real Estate
851,851,Real Estate
852,852,Consumer Discretionary
853,853,Consumer Discretionary
854,854,Consumer Discretionary
855,855,Consumer Discretionary
856,856,Health Care
857,857,Materials
858,858,Materials
859,859,Materials
860,860,Information Technology
861,861,Health Care
862,862,Telecommunications Services
863,863,Health Care
864,864,Health Care
865,865,Health Care
866,866,Health Care
867,867,Health Care
868,868,Health Care
869,869,Health Care
870,870,Health Care
871,871,Health Care
872,872,Energy
873,873,Health Care
874,874,Energy
875,875,Energy
876,876,Energy
877,877,Energy
878,878,Energy
879,879,Energy
880,880,Energy
881,881,Energy
882,882,Industrials
883,883,Energy
884,884,Energy
885,885,Energy
886,886,Energy
887,887,Financials
888,888,Financials
889,889,Financials
890,890,Financials
891,891,Financials
892,892,Telecommunications Services
893,893,Telecommunications Services
894,894,Telecommunications Services
895,895,Telecommunications Services
896,896,Telecommunications Services
897,897,Telecommunications Services
898,898,Telecommunications Services
899,899,Telecommunications Services
900,900,Utilities
901,901,Utilities
902,902,Utilities
903,903,Utilities
904,904,Utilities
905,905,Health Care
906,906,Utilities
907,907,Real Estate
908,908,Real Estate
909,909,Real Estate
910,910,Energy
911,911,Energy
912,912,Energy
913,913,Energy
914,914,Energy
915,915,Energy
916,916,Energy
917,917,Energy
918,918,Energy
919,919,Energy
920,920,Telecommunications Services
921,921,Telecommunications Services
922,922,Telecommunications Services
923,923,Telecommunications Services
924,924,Telecommunications Services
925,925,Real Estate
926,926,Real Estate
927,927,Utilities
928,928,Utilities
929,929,Information Technology
930,930,Telecommunications Services
931,931,Information Technology
932,932,Utilities
933,933,Consumer Staples
934,934,Utilities
935,935,Utilities
936,936,Utilities
937,937,Materials
938,938,Materials
939,939,Materials
940,940,Financials
941,941,Financials
942,942,Industrials
943,943,Industrials
944,944,Industrials
945,945,Financials
946,946,Financials
947,947,Financials
948,948,Consumer Discretionary
949,949,Telecommunications Services
950,950,Telecommunications Services
951,951,Telecommunications Services
952,952,Telecommunications Services
953,953,Energy
954,954,Energy
955,955,Energy
956,956,Energy
957,957,Energy
958,958,Real Estate
959,959,Energy
960,960,Energy
961,961,Energy
962,962,Real Estate
963,963,Information Technology
964,964,Information Technology
965,965,Real Estate
966,966,Real Estate
967,967,Utilities
968,968,Utilities
969,969,Telecommunications Services
970,970,Telecommunications Services
971,971,Telecommunications Services
972,972,Telecommunications Services
973,973,Telecommunications Services
974,974,Telecommunications Services
975,975,Telecommunications Services
976,976,Telecommunications Services
977,977,Real Estate
978,978,Health Care
979,979,Health Care
980,980,Health Care
981,981,Health Care
982,982,Health Care
983,983,Health Care
984,984,Health Care
985,985,Information Technology
986,986,Information Technology
987,987,Materials
988,988,Materials
989,989,Materials
990,990,Materials
991,991,Materials
992,992,Materials
993,993,Materials
994,994,Materials
995,995,Materials
996,996,Health Care
997,997,Health Care
998,998,Health Care
999,999,Health Care
1000,1000,Health Care
1001,1001,Health Care
1002,1002,Health Care
1003,1003,Health Care
1004,1004,Health Care
1005,1005,Health Care
1006,1006,Health Care
1007,1007,Health Care
1008,1008,Health Care
1009,1009,Health Care
1010,1010,Health Care
1011,1011,Health Care
1012,1012,Health Care
1013,1013,Health Care
1014,1014,Utilities
1015,1015,Health Care
1016,1016,Health Care
1017,1017,Utilities
1018,1018,Health Care
1019,1019,Health Care
1020,1020,Health Care
1021,1021,Information Technology
1022,1022,Information Technology
1023,1023,Information Technology
1024,1024,Information Technology
1025,1025,Information Technology
1026,1026,Information Technology
1027,1027,Telecommunications Services
1028,1028,Utilities
1029,1029,Real Estate
1030,1030,Real Estate
1031,1031,Real Estate
1032,1032,Real Estate
1033,1033,Consumer Discretionary
1034,1034,Consumer Discretionary
1035,1035,Real Estate
1036,1036,Real Estate
1037,1037,Real Estate
1038,1038,Telecommunications Services
1039,1039,Telecommunications Services
1040,1040,Materials
1041,1041,Materials
1042,1042,Real Estate
1043,1043,Real Estate
1044,1044,Real Estate
1045,1045,Real Estate
1046,1046,Real Estate
1047,1047,Real Estate
1048,1048,Real Estate
1049,1049,Real Estate
1050,1050,Consumer Discretionary
1051,1051,Information Technology
1052,1052,Consumer Discretionary
1053,1053,Consumer Discretionary
1054,1054,Consumer Discretionary
1055,1055,Health Care
1056,1056,Health Care
1057,1057,Health Care
1058,1058,Health Care
1059,1059,Health Care
1060,1060,Health Care
1061,1061,Health Care
1062,1062,Information Technology
1063,1063,Health Care
1064,1064,Health Care
1065,1065,Information Technology
1066,1066,Information Technology
1067,1067,Information Technology
1068,1068,Telecommunications Services
1069,1069,Telecommunications Services
1070,1070,Information Technology
1071,1071,Telecommunications Services
1072,1072,Utilities
1073,1073,Information Technology
1074,1074,Information Technology
1075,1075,Information Technology
1076,1076,Utilities
1077,1077,Health Care
1078,1078,Health Care
1079,1079,Health Care
1080,1080,Health Care
1081,1081,Health Care
1082,1082,Health Care
1083,1083,Health Care
1084,1084,Telecommunications Services
1085,1085,Financials
1086,1086,Financials
1087,1087,Financials
1088,1088,Financials
1089,1089,Financials
1090,1090,Financials
1091,1091,Health Care
1092,1092,Health Care
1093,1093,Health Care
1094,1094,Health Care
1095,1095,Health Care
1096,1096,Health Care
1097,1097,Health Care
1098,1098,Health Care
1099,1099,Health Care
1100,1100,Health Care
1101,1101,Financials
1102,1102,Financials
1103,1103,Financials
1104,1104,Financials
1105,1105,Industrials
1106,1106,Industrials
1107,1107,Information Technology
1108,1108,Information Technology
1109,1109,Information Technology
1110,1110,Information Technology
1111,1111,Information Technology
1112,1112,Information Technology
1113,1113,Information Technology
1114,1114,Information Technology
1115,1115,Telecommunications Services
1116,1116,Telecommunications Services
1117,1117,Telecommunications Services
1118,1118,Telecommunications Services
1119,1119,Telecommunications Services
1120,1120,Telecommunications Services
1121,1121,Telecommunications Services
1122,1122,Telecommunications Services
1123,1123,Telecommunications Services
1124,1124,Telecommunications Services
1125,1125,Telecommunications Services
1126,1126,Telecommunications Services
1127,1127,Telecommunications Services
1128,1128,Telecommunications Services
1129,1129,Consumer Staples
1130,1130,Consumer Staples
1131,1131,Telecommunications Services
1132,1132,Consumer Staples
1133,1133,Utilities
1134,1134,Utilities
1135,1135,Utilities
1136,1136,Health Care
1137,1137,Real Estate
1138,1138,Utilities
1139,1139,Telecommunications Services
1140,1140,Telecommunications Services
1141,1141,Health Care
1142,1142,Health Care
1143,1143,Health Care
1144,1144,Health Care
1145,1145,Health Care
1146,1146,Health Care
1147,1147,Health Care
1148,1148,Health Care
1149,1149,Health Care
1150,1150,Energy
1151,1151,Energy
1152,1152,Energy
1153,1153,Financials
1154,1154,Industrials
1155,1155,Financials
1156,1156,Energy
1157,1157,Energy
1158,1158,Energy
1159,1159,Energy
1160,1160,Financials
1161,1161,Financials
1162,1162,Financials
1163,1163,Industrials
1164,1164,Industrials
1165,1165,Materials
1166,1166,Materials
1167,1167,Information Technology
1168,1168,Information Technology
1169,1169,Information Technology
1170,1170,Information Technology
1171,1171,Information Technology
1172,1172,Information Technology
1173,1173,Information Technology
