,ABT,ABBV,AET,A,ALXN,AGN,ABC,AMGN,ANTM,BAX,BDX,BIIB,BSX,CAH,CELG,CNC,CERN,CI,DVA,XRAY,EW,ESRX,GILD,HCA,HSIC,HOLX,HUM,IDXX,ILMN,INCY,ISRG,JNJ,LH,LLY,MCK,MDT,MRK,MTD,MYL,PDCO,PKI,PRGO,PFE,DGX,REGN,SYK,COO,TMO,UNH,UHS,VAR,VRTX,WAT,ZBH,ZTS
436,43.6217,60.2468,84.2893,54.3615,190.0301,238.2923,79.7464,158.4902,126.9427,70.3356,126.6798,315.4669,13.1917,78.1611,105.1282,45.0459,62.3248,100.3739,77.5943,49.0337,60.1387,74.2825,110.4501,70.6289,59.4326,25.6367,135.1951,70.8149,187.7616,57.9902,162.0224,105.1801,107.0154,65.3718,198.8556,68.7495,56.2079,254.5819,51.1518,42.2606,42.3448,154.8148,30.1042,63.5164,388.1441,87.981,161.8901,116.4298,95.5548,105.208,83.4206,109.502,109.2604,108.4115,36.5517
437,43.2671,60.7312,84.2552,41.315,192.2988,241.4911,88.4391,160.1689,122.8077,69.891,127.2815,320.2241,13.1768,80.0307,106.4658,48.5296,62.5297,96.9872,77.2628,50.0188,59.9681,75.147,113.5606,64.8895,59.9267,25.8568,136.7059,71.1902,191.9054,63.0948,162.749,106.1547,107.0945,66.5977,202.1536,67.2185,56.8759,288.8135,51.9161,42.493,43.7515,154.6205,29.7797,63.8201,391.5793,86.7052,160.1318,116.2522,93.5229,98.8209,83.8489,110.6685,110.2061,108.9427,37.193
438,43.5901,63.3075,82.0951,55.227,192.7437,243.3893,85.4741,163.0347,126.067,70.1982,128.7321,323.3249,13.3026,78.6423,107.7159,46.155,63.4004,99.1861,78.064,50.6695,60.4708,76.8539,113.1083,70.1567,60.2231,26.054,139.0577,71.1031,193.5366,67.3696,165.8113,107.5778,108.9641,66.4546,204.101,68.1455,57.8817,258.8222,54.1502,43.1255,43.3782,161.8104,29.9911,63.5752,395.594,87.6362,164.5343,117.756,95.115,103.1667,83.9853,112.5222,110.9206,110.8889,37.268
439,43.2965,63.2835,82.3345,40.6587,190.8501,246.7396,86.7135,160.7179,126.4955,69.6917,127.4444,321.168,13.3019,78.588,106.9173,46.0143,63.2697,99.8283,78.091,50.7468,60.1776,76.8839,110.3339,70.7786,59.8664,26.8362,138.39,70.953,194.8815,67.4863,165.2011,107.306,101.0496,66.465,203.5863,68.0529,58.4554,260.0354,53.5338,43.0728,43.7988,159.996,30.0921,62.1753,394.348,87.0409,163.4173,118.4264,94.879,104.4045,83.7211,112.3397,111.5631,110.4052,37.5385
440,43.4709,62.7085,83.4101,40.1775,191.234,245.7185,87.6707,160.3656,127.0547,68.6601,126.7944,321.8141,13.2449,79.1942,105.8645,46.0586,63.396,100.6256,77.8998,50.7351,59.93,76.9963,109.8089,69.3896,60.2093,26.9449,138.0268,71.6954,191.8182,67.4826,165.222,108.373,101.6084,67.029,203.2035,67.8987,59.2891,259.3389,53.7074,43.1518,43.9702,159.7928,30.1762,60.8127,373.2702,87.3941,163.0833,118.2655,94.9992,101.0858,84.3098,113.7147,111.4882,109.5802,38.8277
441,43.6217,62.7792,84.2893,40.2114,191.1203,247.8665,88.0236,159.5672,126.9427,70.3532,127.4232,320.5051,13.3904,79.0057,105.8509,46.1492,63.2,100.3739,77.6207,51.3545,60.1387,77.0953,107.213,68.4303,60.9119,26.5887,138.5188,71.7439,188.2524,67.6278,167.6111,108.5792,101.9439,67.0621,201.7891,68.7495,59.861,259.7735,53.674,43.6834,44.2949,159.3059,30.1042,60.5797,370.9623,87.981,164.1319,118.5055,95.5548,99.71,84.4602,112.2607,111.7775,110.1275,39.1761
442,43.6745,62.7806,84.6837,41.056,193.8311,252.147,87.3051,160.1915,127.5437,71.4214,127.5429,322.84,13.3672,79.4691,106.4617,46.8101,63.7064,101.0421,77.6325,51.9197,61.4767,77.5921,107.1116,68.7728,64.4629,26.7022,139.6791,72.4434,189.0557,68.0236,169.5914,108.9122,102.3446,66.9877,202.2584,68.7314,59.51,262.0536,53.3878,44.0597,44.4023,153.4283,30.0562,62.1075,373.3288,88.4755,166.291,118.8019,96.1594,100.2289,84.8693,115.9841,112.7941,110.3621,39.5911
443,43.3799,61.674,83.0713,41.0684,193.5633,246.1698,86.8875,160.0538,124.8483,70.8414,126.2563,321.4787,13.2913,78.6954,106.4436,46.0158,63.2095,99.4639,74.0544,51.3317,61.2775,77.7863,107.2913,66.4259,64.4628,26.3253,132.1894,72.4922,186.9472,69.5334,167.4751,108.309,100.8417,66.6222,200.0437,68.2637,59.3097,274.9118,52.9054,43.9538,43.874,154.7629,29.8752,62.0224,377.7886,87.628,165.4482,116.8355,94.006,98.1063,84.8079,115.6027,111.2504,108.7554,40.0601
444,43.7678,63.4026,83.5012,41.2972,194.7203,245.6997,87.5087,162.2626,125.5087,70.5428,127.3787,324.8964,13.4303,78.8842,107.521,46.6355,63.2037,100.9052,74.3265,51.325,61.9377,77.8297,107.9413,66.534,64.7901,26.4052,132.3906,73.3551,188.7471,70.1377,168.9172,108.239,100.8937,67.8931,200.6808,68.3793,58.4886,278.717,53.796,44.0652,43.942,155.8974,30.1284,62.5749,383.2373,88.0239,161.8628,116.6926,94.5448,98.2259,85.1781,116.4328,111.9158,109.8608,40.1765
445,44.3046,63.8198,84.5502,41.7956,194.8141,243.6361,87.9979,162.6879,126.6575,70.6783,128.5975,326.5272,13.4098,79.6157,107.9553,47.3083,63.1316,102.1742,75.529,51.6609,62.3638,77.7981,108.088,66.0312,64.7664,26.578,135.424,75.5022,187.9189,71.1435,170.6998,108.8937,100.232,68.1467,202.3759,68.9687,59.4895,285.605,53.6216,44.1964,43.9093,155.6311,30.2569,63.1329,396.6865,88.6086,160.1218,117.8544,95.4386,98.5975,86.9287,117.3736,112.2366,110.7598,42.3747
