,AMG,AFL,ALL,AXP,AIG,AMP,AON,AJG,AIZ,BAC,BBT,BRK.B,BLK,HRB,COF,CBOE,SCHW,CB,CINF,C,CME,CMA,DFS,ETFC,FITB,BEN,GS,HIG,HBAN,IVZ,JPM,KEY,LUK,LNC,L,MTB,MMC,MET,MCO,MS,NDAQ,NTRS,PBCT,PNC,PFG,PGR,PRU,RF,SPGI,STT,STI,TROW,BK,TRV,TMK,USB,UNM,WFC,XL,ZION
710,178.8862,65.8997,63.5416,72.0118,64.0534,114.1741,95.2894,43.8257,85.3327,17.6475,38.8485,135.6461,362.1208,36.9778,79.455,70.1274,33.8025,115.6127,61.2774,54.6189,97.6951,46.6506,56.9939,30.5936,20.9469,41.7845,192.013,46.1008,11.7664,33.833,67.4021,13.2417,17.8596,55.3531,38.2156,125.8887,55.7587,51.4008,103.2209,35.092,58.6127,75.0145,16.8028,96.008,51.9491,31.029,87.1303,10.2106,96.952,72.3775,43.8465,76.4773,43.8947,115.5874,61.1335,44.1723,36.9365,55.5279,38.6871,30.2835
711,176.932,65.9289,63.1169,71.5205,63.8228,113.6654,94.7578,43.51,84.9257,17.708,38.7177,135.7883,358.5339,37.0262,79.3579,69.7449,33.8207,115.6548,61.0988,54.5044,98.1245,46.2287,56.3147,30.6807,20.9404,41.2023,191.2953,46.0908,11.7456,33.7175,67.0063,13.2306,17.8938,55.2147,38.2685,125.5377,55.9808,51.2045,103.0936,35.0183,58.6487,74.4696,16.7305,95.6748,51.4207,30.9116,86.6649,10.1684,97.455,72.3663,43.6554,75.6823,43.7184,115.154,60.9685,43.9721,36.8965,55.3205,38.7036,30.1959
712,171.9229,63.5703,62.8787,70.5182,62.7429,112.1976,93.9223,43.0652,83.6414,17.4943,38.1278,133.2842,353.5546,36.8774,77.9643,68.3552,33.2852,114.2471,60.3568,53.9384,95.8988,45.5114,55.4431,30.1204,20.6212,40.639,187.23,45.6157,11.5306,33.327,66.2236,13.0323,17.991,54.93,37.8432,123.5679,55.4749,50.203,102.3862,34.6523,57.0773,73.3201,16.5459,94.4415,48.6863,30.5064,85.0191,10.0307,96.1513,72.0225,42.9964,75.1932,43.2569,112.1215,60.0789,43.4144,36.2255,54.4969,38.4161,29.6697
713,174.6444,63.4039,64.2015,71.0354,63.7217,114.1766,96.1254,43.7029,85.9089,17.6701,38.7258,135.6093,358.9544,36.9399,78.9953,69.414,34.1734,116.8686,61.2705,54.7065,99.2414,45.99,56.2553,30.5631,20.8616,41.0439,188.883,46.5316,11.6562,33.7615,67.4828,13.2752,17.697,55.6167,38.2246,125.5391,56.5066,50.9305,103.4904,35.2367,58.5816,74.8998,16.7983,96.4706,48.9789,31.0974,86.3315,10.1606,97.7972,73.2585,43.9414,75.9598,43.8806,113.5598,60.8474,44.1044,36.6623,55.3077,38.9562,29.9946
714,172.6568,62.8063,64.4398,70.4606,63.0768,113.3638,96.5358,43.9027,86.4952,17.5725,38.6499,135.4534,356.0126,36.8703,78.3059,69.4361,34.1614,117.1687,61.327,54.3373,99.3569,44.5907,56.1941,30.1926,20.747,40.8916,186.2556,46.4728,11.5967,33.5195,66.895,13.2493,17.5424,54.7156,38.2799,125.2092,56.7059,50.2323,103.8221,34.7288,58.2898,74.553,16.5358,96.4492,49.014,31.0178,85.8708,10.0589,96.8286,72.5917,43.683,75.1997,43.5891,113.4439,60.6473,44.0624,36.2753,55.2776,39.0491,29.1681
715,169.5121,62.0622,63.9558,69.7493,62.5899,111.6346,95.5741,43.4139,86.1,17.2736,38.0643,133.7275,349.9201,34.3472,76.9371,66.7706,33.8688,115.9624,61.0418,53.5558,97.9034,43.1725,55.2617,29.9215,20.1748,39.4547,183.0124,45.902,11.3297,32.8805,66.179,13.0891,17.5097,53.5141,38.034,123.7797,56.0692,49.233,102.0179,34.0788,57.705,74.5835,16.279,95.0617,48.3876,30.9248,84.9303,9.7595,96.1936,71.2487,43.1632,74.3052,43.1494,112.3694,60.1854,43.6062,35.7466,54.6551,38.9806,28.1555
716,167.3952,61.5943,63.264,69.9292,62.3917,109.73,94.7525,43.233,84.7658,17.1245,37.4428,132.2941,347.5148,33.1959,75.7615,65.0481,33.252,115.0763,60.4941,52.9528,94.2441,42.6616,54.4458,29.9096,19.932,38.8914,181.4762,45.2785,11.1531,32.5509,65.6313,12.8745,17.4727,52.6243,37.4875,121.6235,55.6974,48.8935,100.2374,33.5444,56.8238,72.9334,16.2504,93.9506,47.5845,30.7361,84.5214,9.4901,94.9194,69.3523,42.4677,73.5254,42.5515,111.4097,59.7528,43.1529,35.3436,54.2044,38.6674,27.8686
717,166.8158,61.2628,62.6641,70.2147,61.3588,109.2315,93.9359,43.3653,84.3469,17.2349,37.6282,131.9195,345.647,32.9623,75.9067,64.3681,33.3253,114.79,60.0565,52.8551,95.1049,42.7891,54.4443,29.8803,20.0352,38.6612,182.4057,45.1353,11.1214,32.8399,65.8085,13.0539,17.2722,52.8498,37.7959,122.6618,55.8782,49.0734,99.759,33.57,56.1441,72.5379,16.2456,94.4209,47.6053,30.7604,84.2114,9.6096,95.0922,69.1995,42.837,73.6219,42.4203,111.0639,59.7152,43.261,35.207,54.4802,38.2495,28.2831
718,156.312,60.0349,61.6586,69.0987,59.8216,105.6281,93.2481,43.4145,82.613,16.8412,36.8716,130.2482,327.6968,32.4761,73.9137,64.5681,32.0643,113.6138,59.333,51.4043,92.5848,41.8303,53.0777,29.043,19.7029,36.6544,177.463,44.0955,10.8677,31.9515,64.355,12.7777,16.6941,51.0228,37.0717,120.5896,55.2735,47.4116,96.3224,32.3905,54.9896,70.4817,15.9773,92.6514,45.6373,30.3625,81.2742,9.3892,93.0994,66.7306,41.9053,71.1448,41.0801,110.0707,58.696,42.3354,34.1731,53.4517,37.572,27.4542
719,145.0855,59.3696,61.3153,68.5265,58.4522,104.5431,93.6898,42.9183,81.5313,16.7136,36.8184,131.299,318.9759,32.6751,73.2046,66.6747,32.159,113.7511,58.861,51.0034,94.0494,41.1423,52.4402,28.9385,19.7272,35.0543,175.7218,43.2395,10.8109,30.5574,64.0684,12.6722,16.127,50.3462,36.8428,119.9644,54.8289,46.4891,96.2372,31.8479,55.8126,69.5437,15.9626,92.3733,44.9683,30.6659,80.4864,9.329,93.5527,65.406,41.8042,69.7317,40.4456,110.8469,57.5021,42.2319,33.3856,53.1133,37.6466,26.8686
720,150.7393,60.8425,62.5668,70.1338,59.7837,106.2228,96.2876,43.4809,81.8928,17.2961,37.7547,134.7255,328.1965,32.6874,74.9913,67.443,33.115,115.8778,59.7014,52.3664,95.6331,42.9331,53.7581,30.1086,20.4425,35.7231,181.5433,43.8448,11.1784,31.2393,66.0902,13.0701,16.7998,51.1504,37.3908,124.0438,56.317,47.5195,99.1178,32.838,56.8605,72.4312,16.3013,94.927,45.7616,30.8837,82.9108,9.7214,95.1009,67.2974,43.2451,71.4399,41.8043,113.2001,57.7576,43.5724,33.8193,54.6,38.3096,27.8492
721,156.1033,61.4694,63.0963,70.3641,60.4021,106.4395,96.6435,42.6073,82.2376,17.5929,37.9559,134.9004,327.8153,33.2927,75.4996,66.2859,33.3812,116.6322,60.2096,53.2465,95.2314,42.9814,54.4327,30.2227,20.5929,35.7963,184.6036,44.3514,11.2294,31.5725,66.9069,13.2194,16.6315,51.566,37.548,125.2805,57.0153,48.3516,99.1378,33.2482,56.7808,73.5558,16.3917,95.9859,46.1723,31.4512,83.8153,9.8165,95.9183,67.7758,43.6034,71.7751,42.4421,114.0261,58.0997,43.971,33.7992,55.4227,38.1476,27.9068
722,158.6776,60.8069,62.7097,69.9027,60.6404,105.7969,94.0784,41.431,81.3367,17.486,38.082,134.7768,332.0209,33.64,74.9567,65.3193,33.412,116.0813,59.8816,53.1902,94.9344,42.6595,54.2363,30.228,20.5171,35.5259,184.1871,43.7739,11.2083,31.4105,66.7057,13.166,16.3849,50.6227,37.1899,125.6026,56.171,47.7242,98.7502,32.7589,56.2785,72.5838,16.3294,96.497,45.6191,31.5801,82.4769,9.8502,95.6242,66.6393,43.6793,71.3723,41.7206,113.888,57.1857,44.0808,33.4158,55.8007,38.4375,27.9965
