,T,CTL,FTR,VZ
333,35.1094,37.9274,87.8081,49.1898
334,34.9742,37.1468,85.8577,49.2789
335,35.101,36.9971,93.4939,49.1816
336,35.0019,36.8913,83.6222,49.5435
337,34.9542,36.9134,83.967,49.428
338,34.8601,36.5117,82.957,49.3863
339,34.747,36.2814,83.2078,48.9753
340,35.0255,36.9118,84.2731,49.1389
341,34.9794,37.0347,85.1642,49.2619
342,35.0306,36.6972,85.6676,49.162
343,35.0852,36.8249,85.6467,49.0899
344,35.3357,37.21,86.0587,49.4813
345,35.5469,36.9657,86.2685,49.5421
346,35.3289,36.649,85.8298,49.4895
347,35.3751,36.5118,85.4168,49.3844
348,35.2083,36.0786,85.3691,49.3612
349,35.2255,36.195,86.0142,49.0819
350,37.0128,37.6873,93.1648,50.5279
351,35.517,36.2647,87.3054,49.079
352,35.4089,36.2546,87.4753,49.277
353,35.603,35.9694,87.7871,49.5945
354,35.795,36.0155,87.6733,49.6088
355,36.0334,36.1652,87.8384,49.2389
356,35.5624,36.4624,86.5515,48.8706
357,35.6324,36.5656,86.0463,48.8858
358,35.6726,36.7678,86.2366,49.3833
359,35.6747,36.7331,86.5944,50.1331
360,35.85,36.9637,86.451,50.4837
361,36.1989,36.9959,86.1439,50.6311
362,36.4318,37.1197,87.7295,50.8828
363,36.2219,36.8928,86.6499,50.5505
364,36.1191,36.8928,86.7698,50.6615
365,36.0175,37.0307,86.8323,50.7263
366,35.9161,37.3224,87.8554,50.8898
367,35.9022,37.5376,87.3646,51.0395
368,35.4701,37.6868,88.5831,51.1021
369,35.5685,37.6562,88.2638,51.294
370,36.3184,37.7415,89.1322,51.4006
371,36.9182,41.3012,102.4892,52.5325
372,36.3184,39.946,99.6345,51.7637
373,35.7928,39.3666,97.8602,50.731
374,35.4897,39.1785,97.1786,50.1392
375,35.3726,39.1785,97.7537,49.9604
376,35.1551,39.2283,101.0501,49.7583
377,34.5852,38.7982,97.0518,48.9278
378,34.3692,39.1456,96.5234,48.7218
379,34.3285,39.5069,95.1848,48.5434
380,34.5331,40.2233,97.1649,48.8286
381,34.6045,40.6698,97.1349,48.7468
382,34.6478,40.582,97.2851,48.8816
383,34.8138,40.4959,97.3059,48.9345
384,34.6789,40.4176,97.5984,48.7678
385,34.6811,40.3931,98.5121,48.7799
386,34.4606,40.6419,98.4173,48.5365
387,34.5104,40.7339,99.2281,48.804
388,34.6329,40.9518,99.8371,48.9548
389,34.4589,40.7547,99.6992,48.6588
390,34.5381,41.3744,100.6622,49.0439
391,34.5518,41.203,100.6455,49.1609
392,34.696,40.7099,101.4698,49.4087
393,34.6791,40.7339,100.8315,49.4022
394,34.8387,40.9301,101.6356,49.6863
395,34.8264,40.8096,101.621,49.7183
396,34.9162,41.0857,100.3054,49.8652
397,34.8913,41.0303,99.0603,49.6574
