,AMT,AIV,AVB,BXP,CBG,CCI,DLR,EQIX,EQR,ESS,EXR,FRT,GGP,HCP,HST,IRM,KIM,MAC,MAA,PLD,PSA,REG,SPG,SLG,UDR,VTR,VNO,HCN,WY
1125,137.4803,43.8553,190.4083,119.9165,38.3215,99.4354,113.0804,440.3668,67.0717,266.0778,80.454,132.6601,23.6127,31.9886,18.1722,34.9396,19.7166,59.9856,102.0248,61.1439,209.8605,65.4096,163.2096,101.9666,39.1213,68.0554,78.0957,73.2695,34.0173
1126,135.4595,43.8676,190.5223,120.7194,37.7224,99.7706,113.965,440.2153,67.2832,264.6326,76.8364,134.5676,23.8257,31.8107,18.5247,34.838,20.8176,60.9903,102.3991,61.1072,198.8879,66.8286,165.437,102.5048,38.6046,67.4658,78.5031,72.8809,34.0808
1127,137.8892,44.9136,192.0295,121.9203,37.5482,100.5436,113.7639,446.4488,67.6433,264.067,77.5089,133.4984,23.1022,31.8165,18.7244,34.8651,20.707,58.8617,103.9935,61.4772,201.5408,66.4769,162.4452,103.388,39.1973,66.9736,78.7771,72.9915,33.1627
1128,136.6179,45.3722,192.0685,120.904,37.9035,100.2119,114.5807,449.3355,67.8595,261.5944,79.3025,132.3605,22.6043,31.718,18.6171,36.3013,20.1368,57.3875,103.4716,60.906,204.904,65.8559,158.5302,103.1759,39.0792,67.1902,79.1364,73.1735,32.9492
1129,137.6894,45.6068,188.1048,123.9977,37.3917,101.7209,115.363,453.3452,67.7806,263.0085,77.4758,132.8849,22.8435,29.8176,18.6265,37.0146,20.1187,57.7616,103.9028,61.3717,202.1064,67.2047,164.0089,104.0628,39.1339,65.9549,79.3753,71.9262,32.4885
1130,137.6894,45.3514,191.382,122.5599,37.7086,101.412,116.6017,450.6908,67.7806,263.2997,80.5448,132.8849,21.7224,29.9675,18.5895,36.8295,20.1578,55.6707,103.69,61.2295,202.1064,66.1573,162.2516,102.8833,39.0712,65.7425,79.2388,72.2472,32.4885
1131,137.5241,45.5534,188.1485,123.1193,37.581,100.9826,115.6679,448.6249,67.4054,263.7229,77.3942,132.9177,21.7854,29.9036,18.4774,37.4454,20.0802,57.3143,103.9499,61.1656,200.6625,66.1588,162.1078,102.4784,38.8965,66.3995,78.9325,72.7098,32.8013
1132,137.5681,45.6068,188.1048,123.9977,37.3917,101.7209,115.363,444.6055,67.3059,262.8676,77.4758,133.3053,21.9733,29.8176,18.6265,37.0146,20.1187,58.8062,103.9028,61.3717,201.1431,66.6139,164.0089,102.5135,38.7532,65.9549,79.4158,71.9262,32.8124
1133,137.7259,45.6363,188.3998,122.8865,37.3899,101.0379,114.5537,445.7404,67.2975,261.8875,77.8217,133.3456,22.5896,29.5741,18.7278,37.0412,20.4096,60.1264,103.9555,60.7211,201.2094,66.7109,166.1118,102.3605,38.7448,65.7045,79.2465,71.8508,32.7189
1134,136.6995,45.9259,188.2314,122.7997,36.9742,100.4006,113.995,442.0912,67.0073,262.213,77.1329,132.4281,22.4961,29.4621,18.3179,37.3019,20.4492,59.6275,104.1526,60.7977,199.7405,66.4519,163.899,102.0834,38.5392,65.4166,78.8324,71.9239,32.5123
1135,137.4755,46.099,188.9653,121.8034,36.7712,100.3346,114.2255,445.6199,67.2506,264.5046,76.6991,132.874,22.1588,29.4585,17.9686,38.1375,20.5693,59.5681,104.9538,60.65,200.9791,66.9552,163.2262,101.765,38.8447,65.4184,78.0849,71.2567,32.4183
1136,137.3489,45.8553,189.2323,121.1939,35.8615,100.6947,113.3574,442.2117,67.1393,263.0821,76.2561,132.1321,21.7142,29.2617,17.8544,37.8876,20.4875,58.3403,104.7755,60.0832,200.6294,66.7181,161.7029,100.5018,38.8101,65.0101,76.8935,70.815,32.2075
1137,136.8996,45.5552,188.6969,119.803,35.7169,100.8757,111.5667,439.1571,67.0394,260.2675,76.1451,129.8149,21.2226,29.1767,17.8102,37.2593,20.0581,56.4447,104.2387,59.6102,198.7698,65.143,157.8488,98.6794,38.5716,64.7392,75.8467,70.2543,32.2231
1138,139.4816,46.1368,191.3907,122.2762,36.141,102.0303,114.5569,448.0583,67.843,262.9649,76.818,130.8803,21.6451,29.7681,18.033,37.6087,20.0612,57.3723,105.7016,61.0611,200.3387,65.787,160.2229,100.2794,38.9429,66.0156,76.9927,71.6141,32.258
1139,139.7071,45.8732,191.6798,121.6722,35.9491,102.6058,114.6306,447.7042,68.0105,264.3796,76.5058,129.3623,21.1557,29.1391,17.9403,37.3151,19.6575,55.5762,106.6054,61.6438,200.9817,64.9576,156.4917,99.2646,38.9974,65.8484,76.0052,71.1112,31.9416
1140,140.5483,45.5391,191.2524,122.2578,35.7996,104.1183,116.3035,453.2385,68.0308,263.2728,76.0662,129.7761,21.3802,29.3709,18.1887,37.3596,19.7794,55.0449,106.9492,62.4001,199.8353,65.5644,158.3749,99.3212,38.991,66.5743,76.037,72.0395,31.9965
1141,140.3659,45.4677,190.9185,121.1635,35.1353,104.4157,115.8955,455.1837,67.8115,263.6669,76.3708,129.0819,21.1733,29.2606,18.0829,37.2755,19.6274,54.7677,106.6041,61.6804,198.7377,65.6582,157.747,98.1256,39.215,66.5255,75.5076,71.3975,31.5097
1142,139.8351,45.1609,189.0875,119.5224,35.1595,104.1682,114.7346,450.8726,67.1735,260.9101,75.0978,126.9151,20.5644,28.9263,17.5868,36.9608,19.3118,53.3082,105.7223,61.0704,196.1376,64.6704,153.8501,96.7104,39.0097,66.1821,74.021,70.8019,31.1881
1143,141.0451,45.3979,190.0462,120.8158,35.4467,104.7596,116.2829,449.7526,67.7535,263.8802,75.2796,127.7814,20.6464,29.3142,17.4095,37.612,19.6266,53.1445,107.1582,61.8707,200.0394,65.3289,154.5147,97.2901,39.3375,67.325,73.8644,71.8084,31.4234
1144,141.7409,45.392,189.1734,119.7996,35.8881,105.6668,117.3801,454.9321,67.7486,264.4014,75.7187,127.1555,20.6773,28.9549,17.6068,37.7414,19.6465,53.1248,106.8383,61.7329,201.0622,65.3719,153.6085,96.7733,39.275,66.8728,73.441,71.1226,31.4485
1145,142.6865,45.8004,189.6555,121.0015,35.6141,106.1443,118.1148,460.3693,67.9875,266.8498,77.2754,127.4202,21.0185,29.3539,17.6741,38.4231,19.753,53.5942,107.4945,62.5935,204.8624,65.6981,156.3484,98.127,39.3805,67.4706,74.0264,71.5842,31.3738
1146,143.6883,45.9147,189.804,120.6531,35.8406,106.5949,118.0791,463.279,68.0676,266.9417,77.7787,127.6688,21.0058,29.4758,17.6557,38.6019,19.8083,54.0807,107.7538,62.4245,205.1552,65.8439,158.4128,97.5707,39.2637,67.7573,74.4565,71.5369,31.402
1147,144.6192,45.8358,189.3346,120.9128,35.5335,107.1263,118.2458,466.3869,68.035,266.1185,77.0728,127.6839,20.9842,29.5574,17.6863,38.6046,19.7522,54.0509,107.2828,62.6226,204.1615,65.5805,158.7893,97.7184,39.1022,68.0029,74.4939,72.0186,31.7545
1148,145.5466,45.4221,188.3213,120.3045,35.4886,107.0288,117.5158,464.2943,67.3443,265.5618,77.1052,125.8868,20.7493,29.2926,17.5669,39.0342,19.4972,53.2204,106.0379,62.3514,203.5845,64.578,156.9904,97.0747,38.8772,67.5531,74.5889,71.3449,31.725
1149,146.0399,45.1373,187.9704,119.4418,35.1516,106.9402,117.4115,465.6507,67.1876,265.4948,77.9852,125.388,20.6855,29.5179,17.6136,39.2408,19.2788,52.8081,105.9228,62.3365,205.6248,63.4844,156.294,96.2213,38.8286,67.8434,74.1159,71.9189,31.6298
1150,146.8678,45.2004,186.5475,119.861,35.4283,107.0722,117.5899,465.4685,67.0647,265.7253,77.32,125.9369,20.7427,29.4478,17.877,39.3877,19.3687,52.9742,106.2162,62.2622,205.0812,63.2951,156.549,96.6232,38.6635,67.9086,73.9955,72.3639,31.565
1151,148.0263,45.3653,187.6819,120.6356,35.9636,108.4181,118.3972,468.2631,67.1481,266.4089,77.7069,126.9195,20.8038,29.7763,18.0805,39.5016,19.6311,52.9117,106.578,63.1968,205.388,64.3025,157.0737,96.6042,38.802,68.4596,74.5105,73.1955,32.4544
1152,146.0419,45.3683,188.5021,121.4228,36.3145,107.0343,117.7322,466.5709,67.1584,266.697,78.0443,128.3489,21.2305,30.0985,18.134,39.4409,19.8328,53.3936,106.5876,63.8052,206.0637,64.74,158.6938,97.1435,38.9446,68.9354,74.9419,73.6144,32.2027
1153,146.6195,45.1901,186.2773,120.5402,35.9565,107.2813,118.2401,460.4385,66.9452,265.6374,77.9519,127.8423,20.988,30.1829,17.7358,39.6142,19.8572,53.3959,106.2421,63.6214,206.1911,64.5855,157.2048,95.721,38.9501,68.883,74.4003,74.0448,32.1747
1154,146.3856,45.4231,185.908,121.1106,35.8129,106.3679,119.3562,462.7361,67.1919,263.9778,79.3867,129.3923,21.1759,30.2412,17.9288,39.418,20.1428,54.4409,106.3374,63.4031,208.5192,64.9309,158.5885,96.6083,39.105,68.7084,74.5539,73.809,33.0688
1155,146.5379,45.7637,185.8487,120.6655,36.0682,106.8713,121.3183,465.3908,67.6019,265.3524,81.1699,130.6769,21.3091,30.161,17.9281,39.7495,20.4052,54.3454,106.9256,63.6714,213.255,64.8243,160.3531,96.1645,39.2938,68.9515,73.6394,73.8691,33.2279
