,AES,LNT,AEE,AEP,AWK,CNP,CMS,ED,D,DTE,DUK,EIX,ETR,EXC,FE,NEE,NI,NRG,PCG,PNW,PPL,PEG,SCG,SRE,SO,WEC,XEL
667,9.7311,29.13,42.1042,56.5541,54.7418,17.8882,35.0199,66.6041,70.0428,79.8644,71.5749,62.6956,64.8579,29.5102,31.165,97.2702,18.3678,14.7797,52.4962,63.8913,32.6554,41.814,55.7546,96.2067,44.5051,51.8838,35.177
668,9.8457,28.7964,41.749,56.1583,54.9949,17.7738,34.8281,65.6975,69.2776,79.1068,70.5665,62.0379,64.4019,29.292,30.6409,96.456,18.4664,14.7908,52.5466,63.2518,32.503,41.4245,55.2574,96.0988,44.1541,51.8898,34.9427
669,9.9532,28.8888,41.9942,56.0885,55.4285,17.8275,35.2557,66.3042,68.9233,79.8685,71.4222,62.6613,65.2078,29.5158,30.7509,97.8109,18.6529,14.8056,52.5993,63.6816,32.8691,41.9242,55.6777,96.3776,44.3992,52.1724,35.0924
670,10.2975,29.4198,42.5199,57.2461,56.0491,18.4313,35.5825,66.8895,69.9433,80.8931,72.8165,63.509,66.9235,30.4368,31.6178,100.1372,19.0192,15.6421,53.237,64.1459,33.3626,42.6638,56.2497,97.9435,44.9878,52.6113,35.3979
671,10.3663,29.2621,42.2929,56.7083,55.7082,18.52,35.5045,65.8106,69.7839,80.6411,73.0025,62.9058,66.0968,30.1448,31.219,99.9056,18.7883,15.7291,53.0183,63.0925,33.0819,42.7169,55.7489,97.9325,44.8384,52.02,35.0773
672,10.5828,29.1319,42.1909,56.2061,55.3579,18.6469,35.3794,65.2607,69.6913,80.444,72.953,62.9267,66.5583,30.2813,31.0684,100.1951,18.8778,15.5559,52.7263,62.8974,32.6996,42.5066,55.7074,97.8286,44.7519,51.649,35.0086
673,10.6972,29.3784,42.8185,56.521,56.4081,18.6694,35.7756,65.8914,70.4011,81.0418,72.7749,63.4895,67.6528,30.5427,31.2905,100.4461,19.0101,15.3203,53.0079,63.7301,32.911,42.5318,56.2452,99.1912,44.9607,52.0556,35.315
674,10.7358,29.387,43.0175,56.717,56.8153,18.6622,35.5728,65.6368,70.9466,81.0863,72.3438,63.1923,67.5203,30.8285,31.4219,100.8794,18.989,15.4048,52.6186,63.9851,33.0285,42.3775,55.7554,99.8003,45.0003,52.2401,35.2318
675,10.7243,29.6609,43.573,57.5095,57.4966,18.6102,35.8767,65.7728,71.8523,81.6052,72.8965,63.6974,68.4052,31.0814,32.3571,101.5989,19.0544,14.9809,53.1263,64.6526,33.3708,42.6741,56.4752,100.4143,45.5258,52.7642,35.7804
676,10.7088,29.7095,43.5585,57.6016,57.6401,18.4446,35.7152,65.5849,71.7934,81.3474,72.5212,63.4353,68.1256,30.7352,32.4075,101.2891,19.1164,15.1124,52.8675,64.7125,33.3891,42.6063,56.2221,100.4699,45.603,52.4317,35.8891
677,10.6269,29.8674,43.585,58.1139,57.4636,18.3347,35.731,65.5904,72.0902,81.8502,72.5587,63.9541,68.0616,30.4093,32.5422,101.0847,19.0883,15.2045,52.934,64.9774,33.6609,42.7536,56.1903,99.722,45.6188,52.3142,36.095
678,10.6438,30.0852,43.8434,58.4624,57.6983,18.5518,36.0555,66.2122,72.5281,82.8464,73.1007,64.2939,68.6523,30.6507,32.7027,102.6694,19.2307,15.2631,53.5622,65.5975,34.0535,43.1666,56.9088,100.3728,45.7342,52.7024,36.3188
679,10.7272,30.3688,44.1248,58.5993,58.3623,18.6832,36.4362,67.0815,73.1147,83.4738,73.7645,64.3029,69.5209,30.6034,32.6435,103.6507,19.4292,14.9997,54.0691,65.8917,34.412,43.5328,57.801,101.4978,46.1267,53.2348,36.4709
680,10.6584,30.3175,44.0644,58.2489,58.6335,18.3921,36.4788,66.4094,73.0156,83.3451,73.2511,64.489,69.2101,30.1042,32.205,103.3065,19.4276,14.7626,53.9863,65.2848,34.199,43.6504,57.6663,101.362,45.8289,53.266,36.2391
681,10.83,30.5793,44.3062,58.7753,58.7983,18.5876,36.7739,67.1147,73.5494,83.8084,73.725,65.323,70.008,30.5406,32.5209,103.991,19.4658,15.2436,54.4541,65.6512,34.258,43.7769,58.1808,101.4559,46.0266,53.4048,36.5424
682,10.8462,30.5333,44.2951,59.0573,58.2719,18.7966,36.8037,67.1502,74.0573,83.8939,73.9515,65.305,69.7479,30.6015,32.3903,104.4265,19.4838,14.9056,54.4004,65.8263,34.3431,43.3758,58.0429,101.6038,46.1795,53.3063,36.6769
683,10.9617,30.7161,44.4354,58.86,58.4294,19.1122,37.0734,67.6519,74.4523,84.6616,74.8457,65.8711,69.9159,30.8619,32.5307,105.2875,19.6655,14.918,54.4955,66.5439,34.6775,43.6431,58.3908,102.0797,46.4602,53.5463,37.0432
684,11.038,30.293,44.0047,57.8287,57.7374,18.745,36.7649,67.1891,73.4074,83.5058,73.9969,64.756,68.9158,30.1471,31.8595,104.6617,19.6452,14.2212,53.8511,65.9418,34.2697,42.8256,57.5562,101.8576,46.0142,52.9701,36.584
685,10.8637,30.1815,44.1378,57.6266,57.9828,18.6908,36.5298,66.8522,72.7092,83.0848,72.1092,64.6658,68.4449,29.2169,31.2517,103.8576,19.5411,13.2907,53.7008,65.4373,34.1393,41.9589,56.8007,101.1059,45.6042,52.6139,36.5672
686,10.8405,30.2147,44.4593,57.7296,58.0174,18.5966,36.5761,67.1822,72.4757,83.3378,72.3573,64.6109,68.4362,28.6504,31.1397,103.9257,19.2737,12.8071,54.0165,65.6024,34.2195,41.7935,56.7482,100.8111,45.5295,52.6343,36.7122
687,11.0625,29.6632,44.0633,57.126,57.7025,18.512,36.2624,66.3805,71.5308,82.3869,71.6329,61.5296,67.8926,28.593,30.9019,103.282,19.0523,13.0245,52.9497,64.7144,33.5695,41.3988,56.7147,100.5649,45.6151,51.8901,36.1601
688,10.9634,29.2244,43.3006,55.9956,56.782,18.4446,35.432,65.2102,70.5693,80.7748,71.0125,60.3095,66.9195,28.3786,30.5944,101.5637,18.8931,12.9203,51.8959,62.8911,33.4199,41.0548,57.0783,100.591,44.7385,51.0649,35.4004
689,10.968,29.5042,43.6715,56.6782,57.4874,18.533,36.0784,65.7788,71.3562,81.676,71.5466,60.6689,67.9477,28.1502,31.1842,102.5139,19.172,12.845,53.308,63.7253,34.3013,41.0802,58.9316,102.0863,45.0765,51.6312,35.7416
690,11.0112,29.6069,43.7793,56.7161,57.2782,18.4589,35.9209,65.3688,70.5498,81.7843,71.7867,60.5598,67.7947,28.3045,31.059,102.0422,19.1885,13.1729,53.3988,63.7121,34.1132,40.7953,59.0082,102.2092,45.0263,51.5989,35.6931
691,10.9063,29.7715,43.7936,56.6895,57.5576,18.6005,35.9504,65.3078,70.7089,82.15,72.0092,60.5987,69.0157,28.3585,30.8454,102.0645,19.11,13.5783,53.3835,63.8626,34.1907,40.9034,58.8322,104.1441,45.2793,51.5948,35.8187
692,10.8591,30.0378,44.1376,56.7707,57.7345,18.6749,35.8549,65.9136,70.6724,82.6031,72.0142,60.8361,69.1233,28.9071,30.9384,103.0542,19.2917,14.0797,53.9307,65.0988,34.4499,41.0067,59.3748,105.3782,45.6896,52.3465,36.071
693,10.0828,30.0405,44.1278,56.5817,58.0845,18.6068,35.9325,65.5905,70.3993,83.0962,71.3582,60.4306,68.3193,28.8602,30.5183,102.4615,19.5404,13.7446,53.9765,64.8637,34.3496,40.9227,59.4163,104.584,45.7177,51.8075,36.1651
694,10.0875,28.6669,42.5741,53.9548,55.7397,17.5357,34.2976,62.3074,68.0326,79.6603,68.0467,58.5543,66.0345,27.9724,29.347,98.516,18.9068,13.3052,51.707,61.6822,33.096,38.8943,57.1384,100.8881,43.8293,49.4688,34.7748
695,9.9172,28.3054,42.8941,54.2808,55.5026,17.4202,34.1707,61.8802,67.6707,79.2898,68.0962,59.4003,64.8957,28.7336,29.0918,98.8706,18.8986,13.3794,52.2678,61.6756,33.0115,38.722,57.3754,100.2791,43.8986,49.1114,34.9044
696,10.0488,28.8885,43.6963,54.9629,56.4622,17.1911,34.9493,62.7048,67.8693,80.0677,67.3579,60.067,65.0513,28.7399,29.4634,98.9789,19.2129,13.5897,53.167,63.0602,33.2354,38.9007,59.1968,101.0722,44.3617,49.3445,35.4654
697,9.9977,29.3354,44.1866,55.4407,56.951,17.223,35.3119,62.8411,68.1194,80.721,68.1016,60.4086,65.8441,28.8059,29.9764,99.4222,19.4014,13.2471,53.5943,63.4245,33.8385,39.1631,59.9131,101.4905,44.8978,49.8337,35.9595
698,9.8886,29.2965,43.8174,55.4378,56.6336,17.0873,34.9956,62.6698,67.9948,80.3943,67.6957,60.2337,65.9086,28.7168,30.3876,101.1343,19.2211,12.7174,53.1419,62.5947,33.5632,39.0693,59.6279,99.9838,44.1004,49.7724,35.5301
699,9.827,29.2262,43.419,55.2944,56.1786,16.9409,34.6953,62.1731,68.235,79.8512,67.1943,60.0279,65.3697,28.4307,30.5935,100.8245,19.1068,12.62,52.4775,61.8267,33.2171,39.091,59.1861,99.1848,44.1129,49.2812,35.0556
700,9.7741,29.7178,43.5749,55.8848,56.5143,17.1505,35.2477,62.2347,68.8434,80.4813,67.4338,59.9849,66.2451,28.5456,30.4745,101.4545,19.1554,12.6918,53.0985,62.4268,33.7649,39.6284,59.5122,100.5838,44.5005,49.9176,35.3729
701,9.6843,29.6424,43.1505,55.5488,56.3192,17.1329,35.1498,62.6093,68.8051,79.9842,66.3812,59.4861,66.0227,27.9411,30.2544,101.7261,19.2727,12.2255,52.6375,62.3079,33.6116,39.302,59.0059,100.4463,44.29,49.9445,35.3309
702,9.6566,29.483,42.82,54.8962,56.6134,17.0382,35.0392,62.4103,68.0301,79.1507,66.6526,59.0774,65.2572,27.8661,30.1107,99.2389,19.3376,12.0889,52.1965,61.8968,33.3484,38.585,58.7234,100.4715,44.2319,49.7305,35.3194
703,9.5681,30.09,43.6945,56.2021,57.2777,17.1374,35.4565,63.2056,68.8022,80.7621,68.1259,60.0437,65.6675,28.2921,31.1036,100.6053,19.6515,11.9269,53.0511,62.5641,33.9764,39.4696,59.7883,101.4493,45.0472,50.2455,35.6944
704,9.6496,30.4581,44.087,56.4885,57.4783,17.0945,35.6757,63.3219,69.0071,81.3885,69.134,60.7154,66.6664,27.9311,31.2676,101.0486,19.8931,11.9472,53.5945,63.3851,34.5372,39.7247,60.2035,102.1736,45.2976,50.5204,35.8877
705,9.6537,30.2772,43.6199,56.3309,57.5709,17.0446,35.3824,63.1602,67.8808,80.8586,68.3183,60.3167,66.8642,27.8047,31.4076,100.6002,19.7974,12.0859,53.0167,63.1073,34.1597,39.581,59.7506,101.3939,45.0627,50.0575,35.757
706,9.8526,29.9966,43.0544,55.5804,56.8599,16.9977,34.9245,62.2508,67.2851,79.9462,67.8336,59.5067,66.4093,27.6853,31.0634,99.2056,19.5417,12.4253,52.4393,62.8611,33.7477,39.0965,59.457,100.3053,44.716,49.3262,35.5285
707,9.8653,29.8646,43.2027,55.5778,56.9727,17.0505,34.8668,62.0602,67.214,79.8114,67.7791,59.1879,65.8957,27.6436,30.8723,98.8744,19.177,12.2241,52.3494,62.7124,33.6309,38.928,58.9678,99.3563,44.5241,49.0845,35.5029
