,MO,ADM,BF.B,CPB,CHD,KO,CL,CAG,STZ,COST,CVS,DPS,EL,GIS,HRL,SJM,K,KMB,KR,MKC,TAP,MDLZ,MNST,PEP,PM,PG,SYY,CLX,HSY,TSN,WMT,WBA
93,34.6527,32.8337,33.4541,43.676,29.8584,39.4451,56.3655,33.1369,50.5392,108.1485,57.4658,45.7177,66.1419,48.5094,18.9697,100.6219,62.9442,94.4697,16.7268,70.4263,47.9321,28.6857,18.8765,79.5831,87.5802,75.877,33.5597,81.9559,86.0778,25.3766,73.5681,48.8714
94,34.8407,33.1362,34.2255,43.5174,29.9749,39.652,56.6488,33.1836,50.5592,108.6043,57.6807,45.5088,65.7593,48.6109,18.9319,100.6127,63.1213,95.7241,16.8161,71.0268,47.6775,28.7102,18.6568,79.8026,87.5464,76.7168,33.6757,82.4316,86.1474,25.1778,73.6109,48.7595
95,34.739,32.9357,33.8186,43.5578,29.7688,39.5555,56.017,33.0848,49.8137,109.2411,56.8516,45.2392,64.7232,48.4728,18.9864,100.2341,63.2501,94.8438,16.9042,71.201,47.6227,28.6588,18.8207,79.909,86.9997,76.3642,33.6399,81.9262,86.2983,24.9863,73.9433,48.0845
96,34.8398,33.1456,33.8688,43.9505,29.7922,39.7354,56.2934,33.3152,50.5626,110.1741,56.3848,44.9253,64.9706,48.4249,19.1157,100.5857,63.2921,95.4264,17.2426,71.1011,48.0807,28.6528,19.0921,80.1033,86.5234,76.7047,33.8612,82.1965,86.405,25.1481,74.4531,44.8053
97,35.2276,33.5616,34.095,44.4127,30.0911,40.2884,56.8411,33.496,51.3435,110.8883,57.3239,45.5732,65.696,48.0514,19.3066,101.9533,63.7243,96.871,17.2891,72.0398,48.4467,28.8487,19.2669,81.2327,87.5627,77.3718,34.1491,83.2406,87.8369,25.1408,74.9056,45.3027
98,35.5341,33.8026,34.2758,44.8306,30.5069,40.4761,57.4631,35.0615,51.9543,111.6807,57.4511,46.0426,66.5857,48.4713,19.3805,102.6864,64.4272,97.6179,17.3542,70.5561,48.7094,29.1548,19.7433,81.8487,88.1758,77.9329,34.3467,84.042,88.8096,25.3643,75.6263,44.9045
99,35.1734,33.939,33.8963,44.9299,30.8084,40.2616,57.3024,34.9684,52.0957,111.1419,57.2396,46.0041,65.963,48.542,19.3253,103.4738,64.507,97.1358,17.3496,70.4217,48.1001,28.7551,20.2858,81.8638,87.0909,77.2852,34.25,83.3881,89.3198,25.5765,74.8331,44.3257
100,35.426,34.4037,33.8573,45.1096,30.8581,40.6042,58.1154,35.1511,52.9318,112.7891,57.8771,46.3757,66.87,48.8717,19.6186,103.8627,64.9124,97.3861,17.3582,70.5448,48.219,29.6974,20.4022,82.1413,87.5895,78.0113,34.3282,83.6035,90.0377,25.9449,74.8217,44.5563
101,35.4322,34.9221,33.8598,44.9491,30.7633,40.4482,57.7642,35.3345,51.6605,111.0617,58.2171,46.5265,67.5,49.1126,19.524,103.5176,65.193,97.1216,17.9021,70.0201,47.9892,28.9107,20.1072,81.7846,87.6038,78.3621,34.0658,83.4134,89.7993,26.3342,74.9335,44.3804
102,35.4147,34.694,33.7324,44.2951,30.7413,40.3608,57.602,35.5956,50.5637,110.6459,57.9203,46.3434,67.2456,48.9801,19.3454,102.8178,64.9621,96.829,17.8676,69.2107,47.452,28.6583,20.0639,80.7082,87.6652,78.2466,33.8209,83.1439,89.5045,26.1483,74.7809,43.7937
