,APC,APA,COG,CHK,CVX,XEC,CXO,COP,DVN,EOG,EQT,XOM,FTI,HAL,HP,HES,KMI,MRO,MPC,MUR,NOV,NFX,NBL,OXY,OKE,PSX,PXD,RRC,SLB,SWN,RIG,VLO,WMB
656,65.7112,40.5992,22.7007,8.0048,77.2819,104.4299,97.3862,47.3272,39.1966,77.084,72.8838,72.9834,33.7218,36.993,49.7275,52.9106,30.1047,15.5222,46.8616,27.1553,38.726,33.8691,31.4994,66.805,34.8021,79.0191,117.1706,36.7614,73.4502,15.3476,15.1245,60.8699,43.3422
657,68.3978,42.543,23.4706,8.4573,78.6044,108.453,102.8059,48.8347,40.663,79.4263,74.0352,74.2145,35.0665,38.511,52.4662,54.2671,30.5927,16.0092,46.1766,27.854,40.0195,35.6071,32.8338,67.8232,35.8503,78.9449,121.9837,38.0883,75.9306,15.9289,15.8246,59.9063,44.8513
658,69.0378,42.8923,23.8578,8.7361,79.5142,110.0721,106.4544,50.1918,41.3076,80.1876,74.9762,74.6461,34.7566,38.9687,52.9572,55.0307,30.8458,16.6628,46.9094,28.164,39.8057,35.7707,33.3847,68.7787,36.3567,79.4155,125.1019,39.2262,75.907,15.7142,15.7905,60.4639,45.9899
659,66.1652,39.9212,23.6292,8.4923,77.8345,104.8368,103.0625,48.7735,39.7896,77.3485,73.6194,72.862,33.3162,37.5338,49.6744,52.7659,30.4804,15.867,46.3832,27.1444,38.2516,33.956,32.3145,67.033,35.6359,78.5124,121.744,36.4899,72.9892,14.5858,14.6834,60.0493,46.1017
660,65.9808,39.5956,23.9328,8.6064,78.25,103.7239,104.3738,48.6621,40.2714,76.4757,74.0909,73.2687,33.4338,37.6015,48.6832,52.5485,30.6241,16.1593,46.4556,27.6293,37.6437,33.7354,32.7581,66.9091,36.3412,79.5985,123.3218,36.0397,72.9864,14.4369,14.4785,60.1241,46.3672
661,64.9864,38.7856,23.9577,8.1162,77.0543,103.4672,102.7585,48.4338,39.6101,75.3668,72.9042,72.7885,33.1305,37.4206,47.7619,51.336,30.1828,15.7745,46.0139,26.5855,37.3073,33.4416,32.4618,65.8057,36.7264,78.2179,122.1824,35.3628,72.4964,14.1817,14.3692,59.2221,44.8731
662,64.3072,37.8173,23.7317,7.7589,76.3791,102.5535,101.4813,48.2415,38.7155,73.8456,72.4259,72.6727,32.946,37.3781,47.1292,50.5868,29.4117,15.5544,46.5433,25.6436,37.2058,33.4684,32.1511,65.2251,35.9181,78.4908,122.7598,34.7576,72.3275,13.5855,13.8929,60.2711,43.325
663,63.36,37.5257,23.8286,7.5139,76.2493,101.4343,100.7435,47.6945,38.2164,72.6643,71.3263,72.4708,32.3413,36.9457,47.3277,49.8402,28.8837,15.385,46.2786,24.8646,36.8495,33.0726,31.9862,64.842,34.4954,77.5197,121.8335,34.5878,72.4469,13.1478,13.231,59.5955,40.8182
664,62.8367,38.0481,23.8885,7.3967,77.5959,101.8407,101.2698,47.3632,38.4076,73.072,70.353,73.1588,32.8261,36.8072,47.0405,50.2466,29.4224,15.6926,47.2213,24.766,37.2795,33.3695,31.7334,65.6027,34.9416,77.9689,122.736,34.9866,72.8349,12.9926,12.7484,60.4921,41.7869
665,60.1809,36.7357,22.9494,6.7988,76.187,98.5867,97.737,46.29,37.143,70.475,67.8337,72.8027,31.6156,35.2002,46.4612,48.8684,28.0579,15.0116,45.5347,24.0808,36.6615,32.0794,30.1102,64.3628,33.2958,75.2031,118.5425,33.0506,70.0523,12.3636,12.1585,58.9587,37.748
