,APD,ALB,AVY,BLL,CF,EMN,ECL,FMC,FCX,IP,IFF,LYB,MLM,MON,NEM,NUE,PPG,PX,SEE,SHW,MOS,VMC
1119,145.2508,117.3787,93.4481,42.3824,29.2272,84.9447,132.4046,76.1624,12.9127,57.6119,134.9108,85.2283,220.9221,116.7479,33.7298,59.2715,112.6976,134.0089,45.7476,358.4121,23.8578,123.2675
1120,145.3973,118.4425,93.9692,42.4948,30.4944,85.9395,132.8502,76.147,13.0886,57.5933,135.2055,86.7356,222.6772,117.2963,33.853,60.1187,113.3715,135.1206,46.0534,359.3185,24.4769,124.6684
1121,145.6978,118.1052,94.1612,42.3386,30.9294,85.5773,132.4436,75.7968,13.0207,56.9277,133.3616,87.2324,224.0101,117.1766,34.0346,59.6529,106.9708,135.2169,45.53,347.2645,24.4246,125.0531
1122,145.2987,118.3107,93.8571,42.7268,31.108,85.5045,132.9231,75.9697,13.0259,56.6542,132.5581,86.7208,224.6708,117.2004,34.3082,60.2458,106.73,134.8921,45.5092,350.9427,24.2875,125.7021
1123,144.9397,118.5602,93.9812,42.7071,30.3756,85.7437,132.094,76.8291,12.9157,56.7296,132.241,87.1203,226.3041,117.3325,34.1151,60.2936,105.3962,135.0999,45.3255,352.0081,24.171,126.4229
1124,145.2302,118.8367,91.384,42.647,30.1897,86.128,132.9091,77.7295,14.5513,56.9588,133.5625,88.1159,228.4782,117.578,36.0709,61.3079,106.9833,135.8301,45.2338,351.7343,24.1891,127.3633
1125,144.3657,117.6093,92.4042,42.4724,29.072,85.1707,132.4929,77.2657,14.9369,56.4618,133.3595,87.3627,226.9365,117.3809,36.7967,58.8407,106.8497,134.986,45.0525,351.0475,23.6496,125.5695
1126,143.4865,116.6905,91.5938,42.1881,28.8438,84.7485,131.7956,76.6667,14.7559,56.8613,133.6681,86.7701,226.2893,117.4501,36.5989,58.5505,106.0458,132.9189,44.6496,346.4356,23.9131,124.5755
1127,143.1508,116.4127,91.8915,41.9409,28.9699,82.8307,131.8653,76.4612,14.6253,54.9373,133.1561,89.428,225.4995,117.4555,36.8099,57.5008,106.0334,131.8469,43.9193,342.7313,24.096,123.1423
1128,142.5463,116.0088,92.815,41.7841,29.3507,83.441,131.8961,76.4373,14.6496,54.9331,133.2616,90.4664,227.8261,117.0554,37.1621,57.6048,105.3216,130.301,43.5087,338.6004,24.1743,123.5795
1129,147.4053,116.7398,93.5987,40.5173,31.8246,84.2883,132.8132,76.7858,14.4653,53.99,134.6192,88.4682,213.216,117.7117,37.035,57.2996,104.9131,130.1166,43.2913,337.1821,22.466,121.3818
1130,148.0487,119.1248,93.5987,41.8071,28.8572,83.7828,132.4194,82.7478,14.313,54.5008,133.9558,88.4682,214.6487,117.731,36.8811,57.1766,106.1527,130.4466,43.2913,337.3476,22.3063,120.499
1131,147.21,119.1293,93.3961,40.6503,29.9328,84.0038,132.5877,83.6485,14.4038,53.9604,134.2161,88.8545,213.3689,117.7701,36.7277,57.1766,104.6654,130.3685,43.1396,333.9373,22.355,121.3629
1132,147.4053,119.4411,92.9758,40.5173,31.8246,84.2883,132.8132,83.9988,14.4928,53.99,134.6192,88.9699,213.216,117.7117,36.1457,57.2996,104.9131,130.1166,43.4754,335.2005,22.466,121.3818
1133,147.2803,122.3397,93.492,41.0238,31.7907,84.6531,132.3223,84.4916,14.7179,54.1946,134.8537,89.0402,214.9613,117.4775,36.1982,57.7328,105.238,130.2072,43.871,335.0931,22.0734,121.3717
1134,146.1121,115.4364,93.3543,41.0703,31.6122,84.2548,131.4139,84.4716,14.6029,54.0997,135.0065,88.9656,211.0573,117.2441,35.7825,57.6099,103.7879,128.9641,45.0313,332.8755,21.7618,119.1438
1135,146.0034,112.8901,93.04,40.3911,31.6675,84.143,131.9576,84.6497,14.4836,53.4644,137.9731,89.0313,210.9271,117.036,36.0503,57.0299,103.3368,128.5952,44.822,335.0736,21.2915,117.5887
1136,145.2849,111.2235,92.0521,40.1568,31.4281,83.4329,130.7631,83.5404,14.3384,52.5456,137.3578,88.1949,207.4656,117.0241,36.4234,56.7983,101.8013,127.959,44.2406,333.3775,20.7693,115.4701
1137,145.0742,109.3649,92.9769,40.1885,30.5549,83.3366,130.1701,83.03,13.9587,52.4304,135.429,87.4262,204.8733,116.7995,36.5222,55.6432,100.8056,127.8177,44.1825,332.443,20.3417,114.5316
